label,count,mean_width,mean_height
Gammarus sp,987,600.0,389.8581560283688
Simuliidae sp,374,600.0,436.524064171123
Asellus sp,294,600.0,350.1904761904762
Sericostomatidae sp,151,600.0,344.6754966887417
Oligochaeta sp,134,600.0,382.2985074626866
Sphaerium sp,127,584.5984251968504,354.66141732283467
Baetidae sp,109,600.0,436.64220183486236
Erpobdella sp,107,600.0,424.8785046728972
Nemoura sp,106,600.0,338.0
Hydropsychidae sp,69,600.0,437.0144927536232
Ephemerellidae,68,600.0,450.0
Elmis sp,45,600.0,342.97777777777776
Lymnea sp,33,600.0,378.72727272727275
Sialis sp,19,600.0,379.2631578947368
Leuctra sp,19,600.0,338.0
Limnius sp,14,600.0,338.0
Leptophlebiidae sp,9,600.0,450.0
